icao,name,manufacturer,type,apc,wtc,recat_eu,mtow_kg,v2_ias_kts,takeoff_distance_m,initial_climb_ias_kts,initial_climb_roc_ftmin,climb_fl150_ias_kts,climb_fl150_roc_ftmin,climb_fl240_ias_kts,climb_fl240_roc_ftmin,mach_climb_mach,mach_climb_roc_ftmin,cruise_tas_kt,cruise_mach,cruise_ceiling_fl,range_nm,init_descent_mach,init_descent_rod_ftmin,descent_fl100_ias_kt,descent_fl100_rod_ftmin,approach_ias_kt,approach_rod_ftmin,approach_mcs_kt,vat_ias_kt,landing_distance_m,wing_span_m,length_m,height_m,power_plant,wing_position,engine_position,tail_configuration,landing_gear,iata
A10,,,L2J,C,M,Lower Medium,22700,140,1200,170,6000,170,6000,170,6000,0.63,6000,300,0.63,,540,0.63,5000,170,5000,170,5000,,140,1200,17.5,16.3,4.5,2 x 40.3 kN GE TF 34 - GE 100 high bypass turbofans.,Low wing,Both sides of rear fuselage,"Double fin, low set",Tricycle retractable,
A109,,,H2T,A,L,Light,3000,,,90,1900,90,1900,90,1900,,1900,140,,,521,,1000,90,1000,90,1000,,40,,11,13.04,3.5,2 x Turbomeca Arrius 2K1 or 2 x Pratt & Whitney PW206C,Four-blade main rotor,Above cabin,Two-blade tail rotor,Skids or tricycle retractable,
A124,,,L4J,C,H,Super Heavy,405000,140,2800,160,800,160,800,160,800,0.72,800,430,0.72,,3200,0.72,1000,160,1000,160,1000,250,140,2800,73.3,69.1,21.1,4 x 229 kN ZMKB Progress D-18T turbofans.,High wing,Underwing mounted,"Regular tail, mid set",Tailwheel retractable,A4F
A129,,,H2T,A,L,Light,4600,,,90,2050,90,2050,90,2050,,2050,140,,,275,,2000,90,2000,90,2000,,40,,11.9,12.28,3.35,"2 × Rolls-Royce Gem 2-1004D (license built by Piaggio) turboshafts, 664 kW (890 shp) each&#13;&#10;",Four bladed main rotor,Behind cabin,Two-blade tail rotor,Tricycle retractable,
A19N,,,L2J,C,M,Upper Medium,75500,135,1900,165,2500,165,2500,165,2500,0.78,2500,450,0.78,,3750,0.78,1000,165,1000,165,1000,210,130,1900,35.8,33.84,11.76,2 x 107kN CFM International LEAP-1A or Pratt & Whitney PW1100G,Low wing (sharklets),Underwing mounted,"Regular tail, low set",Tricycle retractable,31N
A20N,,,L2J,C,M,Upper Medium,79000,145,1951,175,2200,175,2200,175,2200,0.78,2200,450,0.78,,3500,0.78,1000,175,1000,175,1000,210,135,1951,35.8,37.57,11.76,2 x 120.6kN CFM International LEAP-1A or Pratt & Whitney PW1100G,Low wing (sharklets),Underwing mounted,"Regular tail, low set",Tricycle retractable,32N
A21N,,,L2J,C,M,Upper Medium,97000,145,2150,175,2000,175,2000,175,2000,0.78,2000,450,0.78,,4000,0.78,1500,175,1500,175,1500,210,140,2150,35.8,44.51,11.76,2 x 147.3kN CFM International LEAP-1A or Pratt & Whitney PW1100G,Low wing (sharklets),Underwing mounted,"Regular tail, low set",Tricycle retractable,32Q
A225,,,L6J,C,J,,600000,195,3500,250,1700,250,1700,250,1700,0.78,1700,458,0.78,,3000,0.78,1500,250,1500,250,1500,230,150,3500,88.4,84,18.2,6 x 229.5 kN Lotarev D-18T turbofans.,High wing,Underwing mounted,"Double fin, low set",Tricycle retractable,A25
A306,,,L2J,C,H,Lower Heavy,171700,160,2240,190,3000,190,3000,190,3000,0.78,3000,470,0.78,,4150,0.78,1000,190,1000,190,1000,220,139,2240,44.84,54.1,16.54,2 x 262kN CF6-80C2 or 2 x 249kN P&W PW4000 turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,AB6 / ABY
A30B,,,L2J,C,H,Lower Heavy,165000,160,2850,190,3000,190,3000,190,3000,0.78,3000,470,0.78,,3000,0.78,1000,190,1000,190,1000,220,141,2850,44.8,53.6,16.5,2 x 233 kN GE CF6-50-C2 or 2 x 234 kN P&W JT9D-59A1T turbofans.,Low wing,Underwing mounted,"Regular tail, mid set",Tricycle retractable,AB3 / AB4 / ABF / ABX
